claim_id,fraud_flag
CLM_00002,0
CLM_00003,1
CLM_00004,0
CLM_00005,0
CLM_00006,0
CLM_00007,0
CLM_00008,1
CLM_00009,0
CLM_00010,0
CLM_00012,0
CLM_00013,0
CLM_00014,0
CLM_00015,1
CLM_00016,0
CLM_00018,0
CLM_00019,0
CLM_00020,0
CLM_00021,0
CLM_00022,0
CLM_00023,0
CLM_00024,0
CLM_00025,0
CLM_00026,0
CLM_00027,0
CLM_00028,0
CLM_00029,0
CLM_00030,0
CLM_00031,0
CLM_00032,0
CLM_00033,0
CLM_00034,0
CLM_00035,0
CLM_00037,0
CLM_00038,0
CLM_00040,0
CLM_00042,0
CLM_00043,0
CLM_00044,1
CLM_00047,0
CLM_00048,0
CLM_00050,0
CLM_00051,0
CLM_00052,0
CLM_00053,0
CLM_00054,0
CLM_00056,0
CLM_00057,0
CLM_00059,0
CLM_00060,0
CLM_00061,0
CLM_00062,0
CLM_00063,0
CLM_00064,0
CLM_00065,0
CLM_00066,0
CLM_00067,0
CLM_00068,1
CLM_00069,1
CLM_00070,0
CLM_00073,0
CLM_00074,0
CLM_00075,0
CLM_00077,0
CLM_00079,0
CLM_00080,0
CLM_00081,0
CLM_00082,0
CLM_00084,0
CLM_00086,1
CLM_00087,0
CLM_00088,0
CLM_00089,0
CLM_00090,0
CLM_00091,0
CLM_00092,0
CLM_00095,0
CLM_00096,0
CLM_00099,0
CLM_00100,0
CLM_00101,1
CLM_00102,1
CLM_00104,0
CLM_00107,0
CLM_00108,0
CLM_00109,0
CLM_00110,0
CLM_00111,0
CLM_00112,0
CLM_00113,0
CLM_00114,0
CLM_00115,0
CLM_00117,0
CLM_00118,1
CLM_00119,0
CLM_00120,1
CLM_00122,0
CLM_00123,1
CLM_00124,1
CLM_00125,0
CLM_00126,0
CLM_00127,0
CLM_00128,0
CLM_00129,0
CLM_00132,0
CLM_00133,0
CLM_00134,0
CLM_00136,0
CLM_00137,0
CLM_00138,1
CLM_00139,1
CLM_00141,0
CLM_00142,0
CLM_00143,0
